7:302,58,616,29,8,518,650,15,542,76
18:32205,47812,26299,431,2110,54038,32,1578,63512,564
19:19480,17,302,654,76,616,58,8,866,84
36:17,616,518,654,8,32,15,84,70,1023
37:65,103,7910,2980,3521,3476,12202,9617,4798,1262
41:356,3890,14202,4499,18867,17,542,61,1405,787
42:1009,62137,29709,35036,518,2193,84,1102,131,1039
43:17,542,302,76,1023,654,616,226,1405,8
44:302,616,15,542,61,861,564,1196,8,32
45:347,23970,53818,79096,19829,7056,74038,62489,11557,65060
46:45422,616,302,58,8,61,542,564,245,15
59:1965,29709,119,5567,1039,15,16134,32,999,508
60:6848,302,6011,58,616,84,29,8,15,650
69:61,58,32,787,654,402,302,564,508,364
70:302,654,76,84,354,58,616,29,8,650
94:1405,65,564,1126,119,353,363,364,285,13522
106:15,32,61,518,8,84,101,554,29,364
115:58,518,8,15,61,787,861,902,289,364
116:29001,834,3167,226,508,70,17,698,94,564
142:58,61,32,8,364,84,322,861,554,356
143:86747,394,49245,3231,302,483,22528,1196,1549,17
148:1405,378,5103,6024,5545,18867,46215,17,1023,8
150:17,302,654,650,29,564,8,15,542,61
156:7029,568,3191,8,58,302,616,542,61,84
161:1403,179,1039,12259,1926,13062,9581,616,84,542
171:28641,302,15,84,650,518,8,61,861,101
172:1937,1217,58,654,542,861,61,8,518,554
174:8,518,117,245,296,431,483,654,873,899
177:17,58,654,616,542,15,29,8,518,84
196:650,17164,616,542,15,61,3476,564,29,76
202:302,58,542,15,518,32,8,220,787,245
211:12160,7794,1131,19749,103,17,815,25369,2193,787
217:17,55991,518,245,1405,656,999,787,15,103
220:10178,186,22713,7649,39446,1342,13192,64973,7478,2097
223:119,559,167,616,58,654,302,518,8,564
224:4797,353,1951,17,518,245,8,84,654,601
225:353,3476,32619,616,302,654,542,15,58,61
228:650,17,302,616,58,654,542,564,76,8
229:58,15,1410,518,61,84,32,787,101,94
231:2904,302,616,654,58,8,76,84,518,542
232:48256,102080,60930,24068,113712,58761,77322,103819,11534,55056
238:26712,42397,441,3618,4513,1744,827,9055,4989,4444
241:7973,58,616,542,15,518,61,650,564,84
245:81,262,16786,508,650,780,3137,5767,3939,17
249:91955,7869,8483,17,654,94,15,61,616,518
250:285,3250,2031,616,302,58,654,542,518,8
253:189,3107,508,1527,17,3172,245,76,6434,4825
257:354,17,65,542,296,709,15,61,861,62
272:654,1102,58,29,8,616,354,518,650,138
273:967,17,302,654,101,15,650,76,787,289
288:5998,116,699,1548,17,616,58,15,61,650
290:18867,13501,17,302,654,226,616,138,76,84
291:61628,16625,17,518,84,302,616,654,1102,58
292:616,654,58,10930,542,61,564,289,32,76
294:17,302,8,15,542,76,564,29,787,61
328:302,654,84,58,616,8,29,1102,354,76
331:17,654,58,616,302,15,542,162,650,1511
345:11401,62840,29573,1754,385,805,77581,33223,11281,3250
361:58,616,29,8,518,650,354,76,15,301
376:8683,3191,302,58,17,616,29,84,6,861
384:4940,1684,1979,14593,17,616,542,302,15,654
401:1009,14202,19431,616,58,542,15,32,1102,61
402:3304,4793,16056,302,654,542,15,8,61,861
410:76,508,4755,17,984,1326,463,616,8860,378
448:53377,17532,598,1166,616,518,8,61,245,15
449:65,1039,5214,11484,54210,17,616,15,654,518
450:302,15,654,94,1511,245,29,76,363,1403
452:749,116,17,13523,861,5869,32,508,1410,554
476:398,8213,17,70,245,899,1023,496,1382,124
488:43182,1196,3304,454,376,1548,4478,17,616,542
490:17,302,15,61,32,101,554,650,289,76
494:10066,356,1212,11,6923,2273,14202,9942,17,616
500:17,302,616,654,58,76,8,650,84,29
514:8276,5214,18287,17,616,58,302,650,76,654
525:116,616,302,654,84,518,564,245,70,508
535:17,29,1102,8,542,518,564,101,861,354
536:813,97,8276,14202,616,302,654,58,8,542
538:5258,10269,616,302,654,58,1102,101,15,61
539:1039,7409,14202,17,58,654,542,15,518,564
564:1891,65,97,1567,709,86763,84,8,15,518
582:1550,616,15,84,29,564,518,861,76,61
585:17,185,654,302,58,15,94,616,29,61
590:2073,11108,654,8,518,29,101,76,542,354
601:31717,226,90819,90054,27912,121660,94414,75023,48912,121234
618:17,616,302,542,654,58,15,226,650,8
624:17,76,8,508,564,654,302,7006,84,518
627:11539,83175,5512,10071,32661,311,780,4671,1077,7088
628:14202,2051,10244,8,17390,11,71695,18449,59548,2070
632:81,226,17,508,2967,564,986,3423,8,353
633:1039,302,58,654,15,518,61,8,564,1196
634:17,226,70,508,616,58,780,8,76,262
646:20382,546,1995,564,709,70,20467,1196,8384,335
666:4510,10192,911,11590,1337,10981,35817,25145,46142,24689
667:1405,37653,17,616,58,654,15,302,542,564
669:518,17,736,500,58,65,70,81,2139,224
678:76,1535,901,65,720,22518,21462,30911,17,654
680:65,559,17,616,654,58,15,650,518,8
681:46215,8786,6411,245,441,1744,8,508,4268,710
682:9491,9783,9531,6755,7711,29962,21031,6244,30736,12240
683:34823,15,542,48672,3163,17974,61,8769,69187,1606
684:5738,29161,10493,11984,11470,22890,69720,2318,32441,9935
715:4671,1547,12861,14375,81,1753,36991,21966,61368,2543
716:616,302,17,58,861,654,542,650,564,1196
741:301,1803,168,8860,574,1740,8733,984,5738,1400
750:15,61,564,32,8,787,76,322,62,1086
754:4034,101326,356,8546,709,1778,2085,22606,18867,17
756:285,1217,8105,616,84,8,542,15,1102,101
757:17,616,861,285,302,654,58,1196,76,698
758:1240,15,19354,356,1109,4374,407,15676,10046,8730
763:354,40704,17,84,29,8,650,542,15,518
773:28635,17,616,302,654,650,8,101,861,76
774:17,302,61,1196,32,1245,564,518,554,650
775:58,8683,542,15,518,559,564,787,94,245
782:29709,1825,5567,1039,7145,9617,103144,71891,245,518
784:17,542,302,518,508,787,1196,650,76,101
793:398,116,3250,3448,10075,709,4756,13636,40393,15937
803:17,1119,6450,84,302,891,354,245,736,496
813:8276,35068,17,616,654,61,542,302,518,564
815:749,116,654,302,58,15,542,8,61,564
817:749,116,58,1102,29,616,8,138,518,76
818:12657,984,5480,8860,1326,2103,7994,9874,135,72
823:1744,28,14498,71891,21145,8,17,1382,94,2302
825:77914,616,654,518,58,542,8,94,3632,363
833:58,302,564,8,1196,508,787,861,402,999
835:8276,616,58,302,542,654,518,15,101,61
838:8066,131,7210,1902,15131,219,288,1002,6344,1267
844:58,29,8,76,354,518,736,542,289,15
850:866,17,302,654,354,76,84,29,58,616
856:364,999,62,1405,162,486,3101,1535,103,4904
857:3476,709,302,15,518,84,8,542,76,61
874:518,787,364,58,1196,119,4967,656,999,301
891:17,361,302,654,354,29,84,58,76,616
899:5567,709,1815,10930,17,15,616,518,654,302
900:398,2447,4719,24211,8209,4126,16155,20490,6289,31369
911:302,654,616,58,76,84,8,518,29,564
918:2917,46215,17,654,302,58,616,8,518,542
925:17,302,654,616,58,84,564,8,76,518
926:116,19963,7973,302,58,542,8,518,84,32
937:3915,776,3485,23122,61146,616,518,302,654,58
949:1790,17,302,654,76,616,58,8,866,84
964:2403,3207,947,17,65,4268,353,970,518,94
970:5998,14636,2656,8,4300,9093,4613,84,32906,2251
977:17,518,61,15,650,787,554,364,508,322
981:4513,1002,245,508,710,17,1744,1410,61,3618
982:17,2162,875,84,302,1119,245,354,654,70
984:15,1109,1217,4268,709,395,21899,1572,17,654
992:2068,508,17,245,8,616,564,65,15,61
993:18057,1550,654,84,616,58,29,76,1102,354
998:6573,17,616,302,542,654,58,15,650,564
1000:17,58,3233,65,542,518,61,559,8,101
1007:356,116,709,17,654,542,29,8,15,554
1027:168,661,1400,1326,8733,2103,9874,135,801,5488
1028:17,302,616,58,518,15,29,542,650,354
1044:1874,4288,17,302,616,58,84,654,8,518
1045:356,65,559,17,58,542,518,61,8,564
1049:76,17,564,616,654,2139,542,81,15,8
1068:17,76,1002,441,245,508,94,8928,3506,4513
1069:749,28684,1187,1217,116,875,14202,654,542,518
1070:93265,18315,1405,5553,17,616,56,58,3191,32743
1082:15141,84,542,518,650,15,101,61,32,1196
1083:1034,650,363,13829,518,8,21899,654,4757,17
1088:119,12442,23266,3642,6809,2982,10046,17,616,542
1094:616,58,61,32,787,508,29,1039,301,736
1116:65,654,302,616,58,8,76,84,564,542
1121:17,654,1578,61,205,2548,1372,6,273,20884
1125:84,278,1039,3191,829,2982,616,542,654,58
1127:65,1703,20505,427,17,8,518,616,542,15
1132:17,654,58,302,15,650,8,542,564,76
1133:15,518,61,8,3476,32,650,76,508,354
1140:58,302,616,542,61,15,32,564,518,787
1141:17,787,14259,1119,542,354,311,101,119,7468
1148:17,76,302,508,654,58,616,8,289,32
1153:6968,26460,17,616,654,58,518,542,564,1102
1163:1097,17,302,654,76,616,58,8,866,84
1166:518,131,15,61,103,17,32,1405,5117,1126
1172:56962,889,7984,24429,26720,17,616,58,654,15
1192:17,616,302,58,542,650,61,564,8,518
1204:17,654,616,302,61,58,15,542,94,29
1208:17,616,58,654,302,15,650,542,29,61
1209:28541,1218,17,76,302,564,8,1023,70,899
1234:38251,168,984,574,1400,5480,9874,719,1147,135
1236:65,17,302,58,616,32,654,6759,76,84
1245:65,302,654,1187,84,616,8,58,518,76
1263:8683,1384,3191,17,302,58,542,861,650,32
1267:46721,73,2200,1960,490,2868,6837,1567,6485,22723
1269:4021,4755,3107,1352,2880,6434,1712,5624,7859,7831
1288:67016,1017,398,138,8213,109663,692,654,780,17
1295:15,1719,616,6759,542,8730,1155,22606,518,61
1296:709,17,654,58,29,650,84,76,542,8
1302:709,17,302,616,654,542,15,1196,861,650
1305:28,17,302,58,84,8,29,542,15,650
1342:17,84,518,302,616,654,58,1102,650,101
1382:11243,1205,17,616,8,518,654,302,508,1405
1389:75115,4245,40853,1305,1139,61636,116,6635,518,30727
1391:26376,32,402,787,674,1109,363,999,5117,1239
1397:81,1749,140,226,986,2967,2379,3819,70,17071
1402:302,616,58,650,84,518,289,61,8,101
1405:4697,24722,96890,92558,17,302,654,76,616,58
1407:1324,17,302,542,616,58,518,486,654,15
1408:17,302,616,518,654,84,564,58,650,354
1409:179,908,387,616,8,354,542,101,564,15
1412:2013,17,302,654,58,84,616,70,354,76
1413:15,542,32,101,861,787,322,285,289,364
1418:1405,654,1684,15,542,61,564,289,76,650
1419:4755,4825,1712,3172,6434,12990,23191,7831,5624,4568
1420:179,302,654,616,58,354,518,8,29,736
1427:17,61,15,518,564,1344,1196,8,787,554
1430:2657,6346,58,1196,1405,422,766,4522,3057,17
1431:285,654,58,616,84,542,518,15,8,76
1435:302,616,61,58,364,564,101,322,1196,289
1437:17,302,542,616,58,654,76,698,70,1535
1441:6559,3307,245,2548,6745,2715,840,8,17,8216
1447:18867,1965,518,15,17,1382,1126,1987,131,999
1448:17,245,542,81,15,61,654,2326,2548,8
1457:322,17,302,616,58,654,15,650,542,364
1458:15,17,2200,402,999,1344,496,288,616,1002
1469:12259,32741,302,616,58,542,61,518,564,84
1477:6527,22136,17,245,518,654,94,616,15,787
1486:168,719,984,76,5480,801,1326,574,1790,2103
1490:65,10973,17,302,654,58,616,866,76,542
1491:654,302,616,58,542,84,650,8,15,518
1500:1196,58,302,518,15,61,32,564,787,245
1503:454,654,58,616,8,542,15,650,101,289
1517:74316,13313,52651,7684,27142,11783,1544,35340,63167,48654
1518:65,8,84,1126,17,518,2880,7667,542,616
1535:24676,13739,236,356,1614,5575,116,568,3841,7194
1551:616,8276,542,8,650,518,15,61,354,554
1552:29723,19245,500,1402,70,15,81,4194,2204,226
1553:8683,518,3191,17,616,654,542,58,302,61
1559:5991,654,616,302,15,29,650,84,8,861
1560:518,61,17,15,103,1511,564,58,402,364
1561:17,542,616,15,58,61,518,902,1511,508
1562:709,5465,6809,654,616,29,8,542,650,518
1569:986,226,81,3756,2967,70,1023,380,225,698
1570:18835,17,654,616,58,302,8,518,84,15
1588:3886,1119,1187,84,48,53,899,947,155,301
1589:86063,2868,1217,42489,654,58,616,84,518,8
1591:69776,62108,17,302,654,76,616,58,8,866
1601:749,116,3841,17,616,302,654,15,518,58
1602:16056,185,17,518,15,8,1987,61,616,131
1629:119,1410,559,1039,17,518,616,15,61,654
1634:2265,76,65,8337,9662,1913,6901,17,40,327
1642:654,302,58,8,542,518,32,245,564,94
1653:23813,17,616,58,654,302,8,542,101,84
1654:302,9789,542,518,8,32,84,29,564,101
1655:1009,16514,654,8,542,15,29,650,76,787
1668:43182,454,6855,143,15522,616,15,32,650,1196
1681:518,3915,17,58,616,542,61,84,8,138
1703:650,116,20192,709,7312,518,654,302,32,616
1721:15,17,302,58,616,245,654,61,289,1126
1727:68712,5315,17,58,654,616,84,542,564,32
1728:302,58,616,84,354,1102,8,650,76,15
1745:17,245,616,518,654,302,8,61,32,58
1746:101,17,616,58,302,542,654,518,650,861
1751:54638,19552,14202,427,51158,84,8,518,65,58
1756:8,15,542,803,7535,1102,61,690,2338,153
1758:1220,17,616,302,542,654,58,8,1196,518
1761:25716,10904,34319,101433,70173,119401,103292,23824,45169,508
1767:616,58,84,354,8,518,76,70,1102,15
1779:1674,86913,93097,56748,103533,65741,67185,37843,93631,8635
1780:13960,9354,64,72271,48208,140,10404,731,1772,10503
1783:7407,17,302,58,8,518,542,650,15,76
1787:616,1217,518,61,15,564,32,1196,101,19442
1788:17,508,616,654,302,780,1023,731,140,262
1794:1832,427,1930,17,654,616,15,564,32,245
1796:2166,2770,10012,654,15,542,84,8,61,32
1803:709,17,654,616,302,58,542,15,518,8
1820:65,1352,2880,10041,189,5624,23191,378,6434,508
1821:2302,14202,2770,518,17,61,1405,564,364,616
1822:3476,10560,2976,6957,17,616,302,654,58,32
1823:1220,17,39119,84,542,15,650,61,554,564
1840:1009,616,542,1039,60,61,564,650,861,787
1841:9491,984,8860,2103,3709,801,9295,8733,1124,3211
1842:17,58,302,616,84,542,8,518,29,15
1850:28,17,302,84,654,616,58,8,29,1102
1853:7037,1965,15,32,518,1405,508,103,1023,999
1854:17,303,654,302,542,32,1744,1387,564,364
1862:65,119,3915,5319,57158,302,616,542,15,1102
1880:17,875,84,1119,302,354,947,245,654,736
1883:13063,302,3915,4502,12684,31686,1204,58,654,542
1890:990,654,302,58,8,650,84,616,1102,542
1891:17,302,654,58,616,29,15,84,8,518
1893:58,616,302,61,654,6011,15,364,861,787
1894:18287,616,654,58,542,564,8,15,518,61
1911:29727,10348,8345,29000,741,78658,17271,9127,13392,13581
1912:17,302,654,616,650,8,518,58,84,76
1913:17,616,302,58,654,542,518,8,861,564
1930:48930,2548,5111,197,5627,7160,8069,4755,15772,27094
1932:33562,95798,30513,17,76,2139,5097,564,616,361
1950:542,15,61,32,508,554,861,1196,364,301
1951:2121,1360,17,542,564,508,616,654,1287,1405
1952:17,616,84,542,76,15,861,8,61,162
2005:356,302,119,542,15,61,518,564,32,1196
